gene,baseMean,log2FoldChange,pvalue,padj
mt-Tn,130.30624326153745,0.8648858190099128,3.927425977075481e-05,7.375606006201243e-05
Gm10366,14.562959787253329,2.4671739345165227,3.929284533211582e-05,7.378075564229356e-05
Dtnb,111.04836405306345,1.0872886150154106,3.9429622755116225e-05,7.402734429847131e-05
Gm34319,21.2859567857482,8.869893154928244,3.953306890019759e-05,7.421129542957849e-05
Dpp4,35.63163889521679,1.706007746040932,3.969039963579321e-05,7.448661596826906e-05
Ssr4,1971.668553252903,0.27437508015445466,3.96907096875269e-05,7.448661596826906e-05
BC004004,1454.2658600497314,0.34227546905186457,3.9782007374736936e-05,7.464763175348067e-05
Pheta1,159.58341240935,-0.7294350799421486,3.991885629919911e-05,7.489406432692864e-05
Neurl1a,14.51084565623848,-2.9133938194386544,3.992737548009913e-05,7.489969524141316e-05
Cul4b,661.3611317363514,-0.42032293125609876,4.001946408575722e-05,7.50620706784674e-05
Pbx4,18.49163917274618,-2.4702701057633774,4.017993882164936e-05,7.53526512247953e-05
Gdpd2,12.251559581847232,2.7127811239806894,4.028456382115917e-05,7.553842648272062e-05
Kcnq1ot1,28.791300811559484,-1.8049110875335055,4.044985997307621e-05,7.583790045228404e-05
Zfp267,176.8992521366791,-0.7365101940061515,4.0611115243688014e-05,7.612971665761926e-05
Api5,4252.519564579851,0.24254087063117466,4.070579735978185e-05,7.629667127336078e-05
2210412B16Rik,12.112735416316967,2.9553796659403293,4.0778331517969226e-05,7.642207262528156e-05
Chrnb2,51.42695948246694,1.2549269648280221,4.089173246843194e-05,7.662401663811363e-05
Mvk,315.3382193538416,-0.5563479698035191,4.090222706811054e-05,7.663310286025293e-05
Bhlhb9,54.58762225204051,-1.296306546122157,4.093725267229904e-05,7.668814073610091e-05
Man1a,2957.970036279529,0.27708983248669744,4.096533587177964e-05,7.673015994529279e-05
Stradb,240.6615819139021,-0.6432085942196331,4.1005331086709906e-05,7.679447629290842e-05
E230013L22Rik,22.802934412534757,1.9572266150631454,4.10453718573008e-05,7.685886020016568e-05
Rsf1,752.1672436983243,-0.3928098216982634,4.116497941285758e-05,7.707219731725914e-05
Utp18,717.444347199457,-0.44276007352112673,4.117488907560463e-05,7.708011919904251e-05
5033406O09Rik,12.821583016433513,-4.371422976129755,4.1248334892939865e-05,7.720696329795446e-05
Tgoln1,4593.811425847645,0.23725078490647072,4.141567352623852e-05,7.750949296086609e-05
Atp5j2,1652.2724325092902,0.29631032819752107,4.145365754152007e-05,7.756988523140247e-05
Fbxw4,166.70531589175465,-0.8581810232587853,4.168060235600031e-05,7.7983803773997e-05
