gene,ctrl_1,ctrl_2,ctrl_3,lps_1,lps_2,lps_3
Poglut2,473,280,278,102,124,79
Bivm,360,293,278,78,41,95
Ercc5,343,265,215,130,117,71
Mettl21e,0,0,0,0,0,0
Gm15833,0,0,0,0,0,0
Gm5700,0,0,0,0,0,0
Gm28893,0,0,0,0,0,0
Txn-ps1,0,0,1,0,3,3
Gulp1,0,0,0,0,0,0
Gm37626,0,0,0,0,0,0
Gm16102,0,0,0,0,0,0
4930521E06Rik,0,0,0,0,0,0
Gm38110,0,0,0,0,0,0
Gm3489,0,0,0,0,0,0
Gm19480,0,0,0,0,0,0
Gm3496,0,0,0,0,0,0
Gm5268,0,0,0,0,0,0
Col3a1,0,0,0,0,0,0
ENSMUSG00002074901,0,0,0,0,0,0
Col5a2,0,0,0,0,0,1
Gm38211,0,0,0,0,0,1
Gm8296,0,0,0,0,0,0
Gm7063,0,0,0,0,0,0
Gm8304,0,0,0,0,0,0
Gm23216,0,0,0,0,0,0
Gm23974,0,0,0,0,0,0
Gm8307,0,0,0,0,0,0
Gm23984,0,0,0,0,0,0
Wdr75,1272,832,737,447,382,344
Gm28906,0,0,0,0,0,0
Gm5526,42,50,24,40,33,32
Gm5269,0,0,0,0,1,0
Gm18303,1,1,0,0,0,0
Slc40a1,680,459,471,57,49,44
Gm9496,0,0,0,0,0,0
Rpl23a-ps1,0,0,0,0,0,0
Gm3852,0,0,0,0,1,0
Stk-ps2,0,0,0,0,0,0
Gm18849,0,0,0,0,0,0
Dnah7b,0,0,0,0,0,0
n-R5s211,0,0,0,0,0,0
Gm8326,0,1,2,3,4,1
Dnah7c,4,5,1,2,0,1
Slc39a10,2326,1373,1501,886,756,749
Gm28151,6,7,9,4,1,1
Gm37393,0,0,0,0,0,0
Gm28527,0,1,1,2,0,1
Gm28825,0,0,0,0,0,0
Gm28826,0,0,0,0,0,0
Gm4852,1,0,0,0,3,1
Gm38090,0,0,0,0,0,0
Mir6350,0,0,0,0,0,0
Gm18117,0,0,0,0,0,0
Gm37196,0,0,0,0,0,0
Gm8337,13,7,6,3,5,11
ENSMUSG00002075213,0,0,0,0,0,0
7SK|ENSMUSG00002076633.1,0,0,0,0,0,0
Gm19206,0,0,0,0,0,0
